Address,Asking Price,Beds,Baths,Property Type,Energy Rating,Eircode,Local Property Tax,Agency Name,Agency Contact,Price Changes,URL
"11 Stocking Well Wood, Stocking Avenue, Rathfarnham, Dublin 16, D16X2C4","€399,000",3 Bed,3 Bath,Duplex,B2,D16 X2C4,€405,Leonard Wilson Keenan Estates & Letting Agents,Desmond Keany,"Sold, €434,000, Mon Jul 15 2024; Unlisted, €399,000, Tue Apr 23 2024; Created, €399,000, Wed Feb 28 2024",https://mynest.ie/listing/118141/Dublin/11-stocking-well-wood-stocking-avenue-rathfarnham-dublin-16-d16x2c4
"11 Stocking Well Wood, Stocking Avenue, Dublin 16, D16X2C4","€399,000",3 Bed,3 Bath,Duplex,B2,D16 X2C4,€405,Leonard Wilson Keenan Estates & Letting Agents,Desmond Keany,"Sold, €434,000, Mon Jul 15 2024; Sale Agreed, €399,000, Tue Jul 23 2024; Created, €399,000, Tue Apr 23 2024",https://mynest.ie/listing/126585/Dublin/11-stocking-well-wood-stocking-avenue-dublin-16-d16x2c4
"106 Kincora Road, Clontarf, Clontarf, Dublin 3, D03HY60","€825,000",3 Bed,2 Bath,Terrace,C2,D03 HY60,€855,Corry Estates,Jim Gallagher - Assoc SCSI,"Sold, €915,000, Mon Jul 15 2024; Sale Agreed, €825,000, Mon May 20 2024; Created, €825,000, Wed Apr 17 2024",https://mynest.ie/listing/125540/Dublin/106-kincora-road-clontarf-clontarf-dublin-3-d03hy60
"6 Park View, Northbrook Avenue, Ranelagh, Dublin 6, D06F087","€550,000",2 Bed,1 Bath,Duplex,C2,D06 F087,€585,Youngs Estate Agents,Michael McDonagh,"Sold, €599,000, Fri Jul 12 2024; Sale Agreed, €550,000, Thu Apr 18 2024; Created, €550,000, Tue Mar 19 2024",https://mynest.ie/listing/121099/Dublin/6-park-view-northbrook-avenue-ranelagh-dublin-6-d06f087
"6 Ashdale Road, Terenure, Terenure, Dublin 6","€925,000",6 Bed,6 Bath,Terrace,G,D6W Y231,€945,O'Connor Shannon,Ivan Tuite,"Sold, €885,000, Fri Jul 12 2024; Unlisted, €925,000, Fri Mar 10 2023; Created, €925,000, Wed Nov 09 2022",https://mynest.ie/listing/46448/Dublin/6-ashdale-road-terenure-terenure-dublin-6
"38 Mount Eagle View, Leopardstown Heights, Leopardstown, Dublin 18, D18P6C7","€545,000",3 Bed,1 Bath,Semi-D,C2,D18 P6C7,€585,DNG Stillorgan,William Bradshaw,"Sold, €605,000, Fri Jul 12 2024; Sale Agreed, €545,000, Wed May 29 2024; Created, €545,000, Fri May 10 2024",https://mynest.ie/listing/129699/Dublin/38-mount-eagle-view-leopardstown-heights-leopardstown-dublin-18-d18p6c7
"15 Woodlands Drive, Stillorgan, Co. Dublin, A94AY17","€745,000",4 Bed,1 Bath,Terrace,E2,A94 AY17,€765,Auctioneera.ie,Auctioneera Dublin Office*,"Sold, €867,000, Fri Jul 12 2024; Sale Agreed, €745,000, Tue May 28 2024; Created, €745,000, Wed Apr 24 2024",https://mynest.ie/listing/126850/Dublin/15-woodlands-drive-stillorgan-co-dublin-a94ay17
"113 Ashcroft, Raheny, Dublin 5","€410,000",2 Bed,1 Bath,Terrace,C1,D05 EW93,€405,Flynn & Associates Ltd (Raheny),Flynn and Associates Raheny,"Sold, €455,000, Fri Jul 12 2024; Sale Agreed, €410,000, Tue Apr 09 2024; Created, €410,000, Thu Mar 21 2024",https://mynest.ie/listing/121446/Dublin/113-ashcroft-raheny-dublin-5
"9 St Thomas Mead Mount Merrion, Mount Merrion, Co. Dublin","€1,250,000",4 Bed,3 Bath,Detached,E1,A94 HK07,"€1,627",Lisney Sotheby's International Realty (Leeson Street),Louise Kenny,"Sold, €1,470,000, Thu Jul 11 2024; Sale Agreed, €1,250,000, Mon Nov 20 2023; Created, €1,250,000, Thu Oct 05 2023",https://mynest.ie/listing/99158/Dublin/9-st-thomas-mead-mount-merrion-mount-merrion-co-dublin
"59 Hillcourt Road Glenageary, Glenageary, Co. Dublin, A96P7X6","€775,000",4 Bed,2 Bath,Semi-D,F,A96 P7X6,€765,Lisney Sotheby's International Realty (Dalkey),Michelle Kealy,"Sold, €787,500, Thu Jul 11 2024; Sale Agreed, €775,000, Tue Apr 16 2024; Created, €775,000, Wed Feb 28 2024",https://mynest.ie/listing/118152/Dublin/59-hillcourt-road-glenageary-glenageary-co-dublin-a96p7x6
"19 Elder Heath Green, Tallaght, Dublin 24, D24RR9V","€425,000",3 Bed,3 Bath,Semi-D,A3,D24 RR9V,€405,Byrne Malone Estate Agents,Peter Byrne,"Sold, €457,000, Thu Jul 11 2024; Sale Agreed, €425,000, Tue Apr 30 2024; Created, €425,000, Mon Apr 08 2024",https://mynest.ie/listing/123966/Dublin/19-elder-heath-green-tallaght-dublin-24-d24rr9v
"71 Woodford, Stillorgan, Co. Dublin, A94Y274","€825,000",4 Bed,3 Bath,Detached,C2,A94 Y274,€855,DNG Stillorgan,Brian Dempsey,"Sold, €950,000, Wed Jul 10 2024; Sale Agreed, €825,000, Thu May 23 2024; Created, €825,000, Tue Apr 16 2024",https://mynest.ie/listing/125355/Dublin/71-woodford-stillorgan-co-dublin-a94y274
"6 Saint Francis' Square, Dublin 8","€300,000",2 Bed,1 Bath,Terrace,SI_666,D08 E6A2,€315,Hibernian Estates,Sales Department 2,"Sold, €300,000, Wed Jul 10 2024; Sale Agreed, €300,000, Tue Jan 23 2024; Price Drop, €300,000, Wed Sep 27 2023; Created, €325,000, Wed Jun 07 2023",https://mynest.ie/listing/78402/Dublin/6-saint-francis-square-dublin-8
"3 Castleview Meadows, Swords, Co. Dublin, K67EE09","€395,000",3 Bed,3 Bath,Semi-D,C3,K67 EE09,€405,Brant Higgins Estate Agents,Sue Brant PSR Licence No: 004160-001611,"Sold, €400,000, Wed Jul 10 2024; Sale Agreed, €395,000, Wed Apr 17 2024; Created, €395,000, Wed Mar 20 2024",https://mynest.ie/listing/121251/Dublin/3-castleview-meadows-swords-co-dublin-k67ee09
"23 King's Inns Court, Phibsborough, Phibsborough, Dublin 7, D07RW13","€240,000",1 Bed,1 Bath,Apartment,E1,D07 RW13,€225,Hamill Estate Agents & Valuers,Hamill Estate Agents & Valuers,"Sold, €260,000, Wed Jul 10 2024; Sale Agreed, €240,000, Tue Jan 09 2024; Created, €240,000, Fri Dec 22 2023",https://mynest.ie/listing/109021/Dublin/23-kings-inns-court-phibsborough-phibsborough-dublin-7-d07rw13
"2 Elm Mount View, Beaumont, Dublin 9, D09E2T0","€445,000",3 Bed,1 Bath,Semi-D,G,D09 E2T0,€495,KM Property,Barry O`Driscoll,"Sold, €595,000, Wed Jul 10 2024; Sale Agreed, €445,000, Mon Apr 15 2024; Created, €445,000, Tue Mar 26 2024",https://mynest.ie/listing/122154/Dublin/2-elm-mount-view-beaumont-dublin-9-d09e2t0
"60 Wainsfort Manor Drive, Kimmage, Dublin 6W, D6WNN97","€575,000",3 Bed,2 Bath,Semi-D,D1,D6W NN97,€585,Hooke & MacDonald,Sales Office,"Sold, €686,100, Tue Jul 09 2024; Sale Agreed, €575,000, Tue Apr 30 2024; Created, €575,000, Tue Mar 12 2024",https://mynest.ie/listing/119617/Dublin/60-wainsfort-manor-drive-kimmage-dublin-6w-d6wnn97
"5 Elder Heath Hall, Tallaght, Dublin 24, D24VYW3","€425,000",3 Bed,3 Bath,Semi-D,A2,D24 VYW3,€405,Byrne Malone Estate Agents,Peter Byrne,"Sold, €456,000, Tue Jul 09 2024; Sale Agreed, €425,000, Tue Apr 09 2024; Created, €425,000, Fri Mar 08 2024",https://mynest.ie/listing/119442/Dublin/5-elder-heath-hall-tallaght-dublin-24-d24vyw3
"41 Holywell Manor, Swords, Co. Dublin","€240,000",2 Bed,2 Bath,Apartment,B3,K67 X597,€225,Flynn Estate Agents,Flynn & Associates Swords,"Sold, €267,000, Tue Jul 09 2024; Sale Agreed, €240,000, Mon Feb 26 2024; Created, €240,000, Fri Feb 09 2024",https://mynest.ie/listing/115396/Dublin/41-holywell-manor-swords-co-dublin
"35 Verschoyle Glen, D24Y2N9, Citywest, Co. Dublin","€395,000",3 Bed,3 Bath,Semi-D,C1,D24 Y2N9,€405,Ray Cooke Auctioneers Tallaght,Rathcoole Sales,"Sold, €466,000, Tue Jul 09 2024; Sale Agreed, €395,000, Sat Dec 16 2023; Created, €395,000, Wed Nov 08 2023",https://mynest.ie/listing/104358/Dublin/35-verschoyle-glen-d24y2n9-citywest-co-dublin
"Apartment 8, Sion Hill Court, Drumcondra, Dublin 9, D09VN27","€200,000",1 Bed,1 Bath,Apartment,D1,D09 VN27,€90,Howley Souhan Estate Agents,Janet,"Sold, €222,000, Mon Jul 08 2024; Sale Agreed, €200,000, Mon Feb 19 2024; Created, €200,000, Tue Jan 23 2024",https://mynest.ie/listing/113143/Dublin/apartment-8-sion-hill-court-drumcondra-dublin-9-d09vn27
"62 Trimleston, Balbriggan, Co. Dublin, K32D308","€150,000",2 Bed,1 Bath,Apartment,D1,K32 D308,€90,Sherry Fitzgerald Cumisky Kelly,Chris White,"Sold, €178,000, Mon Jul 08 2024; Sale Agreed, €150,000, Mon Feb 19 2024; Created, €150,000, Fri Jan 05 2024",https://mynest.ie/listing/109476/Dublin/62-trimleston-balbriggan-co-dublin-k32d308
"6 Dodder Park Grove, Rathfarnham, Dublin 14, D14Y440","€750,000",3 Bed,2 Bath,Semi-D,D1,D14 Y440,€765,Quillsen,Quillsen Terenure,"Sold, €860,000, Mon Jul 08 2024; Sale Agreed, €750,000, Fri Mar 15 2024; Created, €750,000, Wed Feb 14 2024",https://mynest.ie/listing/116027/Dublin/6-dodder-park-grove-rathfarnham-dublin-14-d14y440
"229 Errigal Road, Drimnagh, Drimnagh, Dublin 12, D12R588","€365,000",3 Bed,1 Bath,Terrace,D1,D12 R588,€405,City Homes,Stephen O' Grady,"Sold, €470,000, Mon Jul 08 2024; Sale Agreed, €365,000, Thu Mar 21 2024; Created, €365,000, Wed Mar 06 2024",https://mynest.ie/listing/119150/Dublin/229-errigal-road-drimnagh-drimnagh-dublin-12-d12r588
"The Moorings, The Moorings, 13 Charleville Mall, North Strand, Dublin 1, D01H9R2","€750,000",6 Bed,3 Bath,Terrace,C2,D01 H9R2,€765,DNG Fairview,Rachel Cunningham,"Sold, €780,000, Mon Jul 08 2024; Sale Agreed, €750,000, Wed May 01 2024; Created, €750,000, Tue Mar 12 2024",https://mynest.ie/listing/119606/Dublin/the-moorings-the-moorings-13-charleville-mall-north-strand-dublin-1-d01h9r2
"Glencar, 11 Ashfield, Templeogue, Dublin 6W, D6WW592","€725,000",4 Bed,2 Bath,Detached,D1,D6W W592,€765,Vincent Finnegan,Gary Marshall,"Sold, €827,000, Mon Jul 08 2024; Sale Agreed, €725,000, Tue May 21 2024; Created, €725,000, Mon Apr 15 2024",https://mynest.ie/listing/125083/Dublin/glencar-11-ashfield-templeogue-dublin-6w-d6ww592
"7 Roebuck Drive, Perrystown, Perrystown, Dublin 12","€450,000",3 Bed,1 Bath,Terrace,D1,D12 WV07,€495,Howley Souhan Estate Agents,Janet,"Sold, €440,000, Fri Jul 05 2024; Sale Agreed, €450,000, Thu Feb 22 2024; Created, €450,000, Thu Sep 07 2023",https://mynest.ie/listing/93960/Dublin/7-roebuck-drive-perrystown-perrystown-dublin-12
"67 New Road, Clondalkin, Clondalkin, Dublin 22","€300,000",2 Bed,1 Bath,Semi-D,SI_666,D22 PA03,€315,Tom Maher & Co. Ltd,Tom Maher & Co.,"Sold, €435,000, Fri Jul 05 2024; Sale Agreed, €300,000, Tue Jul 25 2023; Created, €300,000, Fri Dec 16 2022",https://mynest.ie/listing/51815/Dublin/67-new-road-clondalkin-clondalkin-dublin-22
"6 Tara Cove, Balbriggan, Co. Dublin, K32FR90","€340,000",3 Bed,1 Bath,Semi-D,D1,K32 FR90,€315,DNG Wall Tuckey,Ailish Wall MIPAV,"Sold, €325,000, Fri Jul 05 2024; Sale Agreed, €340,000, Fri Apr 19 2024; Created, €340,000, Wed Nov 08 2023",https://mynest.ie/listing/104197/Dublin/6-tara-cove-balbriggan-co-dublin-k32fr90
"6 Hermitage View, Rathfarnham, Rathfarnham, Dublin 16, D16YA38","€815,000",4 Bed,3 Bath,Detached,D2,D16 YA38,€855,Mark Kelly & Associates,Belinda Kelly,"Sold, €825,000, Fri Jul 05 2024; Sale Agreed, €815,000, Mon Jul 08 2024; Created, €815,000, Tue Apr 16 2024",https://mynest.ie/listing/125321/Dublin/6-hermitage-view-rathfarnham-rathfarnham-dublin-16-d16ya38
"Apartment 6, Eaton Green, Rathcoole, Co. Dublin, D24NW10","€250,000",2 Bed,2 Bath,Apartment,B2,D24 NW10,€225,Ventura Properties,Barry Feenan,"Sold, €266,000, Fri Jul 05 2024; Sale Agreed, €250,000, Thu Apr 04 2024; Created, €250,000, Tue Mar 12 2024",https://mynest.ie/listing/119622/Dublin/apartment-6-eaton-green-rathcoole-co-dublin-d24nw10
"45 Russell Avenue, Drumcondra, Drumcondra, Dublin 3, D03HP82","€489,000",3 Bed,2 Bath,Terrace,D1,D03 HP82,€495,GWD Central Ltd.,John Ronan MIPAV,"Sold, €489,000, Fri Jul 05 2024; Sale Agreed, €489,000, Mon Apr 15 2024; Created, €489,000, Tue Mar 05 2024",https://mynest.ie/listing/118967/Dublin/45-russell-avenue-drumcondra-drumcondra-dublin-3-d03hp82
"40 Sitric Road, Stoneybatter, Dublin 7","€355,000",2 Bed,1 Bath,Terrace,E2,D07 T8P0,€405,North's Property,Danielle Stephenson,"Sold, €382,500, Fri Jul 05 2024; Sale Agreed, €355,000, Wed Nov 15 2023; Created, €355,000, Thu Oct 05 2023",https://mynest.ie/listing/99047/Dublin/40-sitric-road-stoneybatter-dublin-7
"311 Palmerstown Woods, Clondalkin, D22 VH26, Dublin 22","€275,000",3 Bed,1 Bath,Semi-D,D1,D22 VH26,€315,Ray Cooke Auctioneers Clondalkin,James Droney,"Sold, €315,000, Fri Jul 05 2024; Unlisted, €275,000, Fri Sep 22 2023; Created, €275,000, Fri Aug 25 2023",https://mynest.ie/listing/92079/Dublin/311-palmerstown-woods-clondalkin-d22-vh26-dublin-22
"22 The Gables, Grange View Road, Clondalkin, Dublin 22","€225,000",2 Bed,1 Bath,Apartment,D1,D22 EC94,€225,BROE Auctioneers,Shauna O'Brien M.I.P.A.V,"Sold, €250,000, Fri Jul 05 2024; Unlisted, €225,000, Fri Jan 12 2024; Created, €225,000, Tue Sep 12 2023",https://mynest.ie/listing/95114/Dublin/22-the-gables-grange-view-road-clondalkin-dublin-22
"22 The Gables, Grange View Road, Clondalkin, Dublin 22, D22EC94","€225,000",2 Bed,1 Bath,Apartment,C3,D22 EC94,€225,BROE Auctioneers,Shauna O'Brien M.I.P.A.V,"Sold, €250,000, Fri Jul 05 2024; Unlisted, €225,000, Wed Apr 03 2024; Created, €225,000, Fri Jan 05 2024",https://mynest.ie/listing/109510/Dublin/22-the-gables-grange-view-road-clondalkin-dublin-22-d22ec94
